job_id,company_name,title,description,max_salary,pay_period,location,company_id,views,med_salary,min_salary,formatted_work_type,applies,original_listed_time,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,normalized_salary,zip_code,fips,clean_description
2735151240,LT Apparel Group,Intern- Business Analytics,"Summer Internshipadidas & Carhartt kids DivisionLT Apparel- Greensboro, NC Location
We are a leading apparel company that is constantly innovating and seeking new ways to improve. We are looking for a bright and motivated intern to join our team and help us streamline our costing process and build powerful predictive models.
Responsibilities:· Partner with the global sourcing team to review and analyze current costing models and identify areas to improve process efficiency.· Build and implement predictive product costing models.· Conduct data analysis to identify trends and patterns in material and production costs across various sourcing regions.Qualifications:· Candidate must be currently enrolled in an MBA program with a focus in data analytics.· Proven track record of academic excellence, with a strong understanding of data analysis, modeling, and visualization techniques.· Familiarity with data visualization tools (e.g., Tableau, Power BI).· Expertise in Microsoft Excel, including advanced formulas and functions.· A passion for working with data and an ability to translate complex information into actionable insights.· Excellent communication and interpersonal skills, with the ability to work effectively in a team environment.· A creative and innovative approach to problem-solving is a plus.
What we offer:This internship offers a unique opportunity to gain valuable experience in the fast-paced world of apparel manufacturing and data analysis while working with two established brands. You will work alongside industry experts in both sourcing and data, learning from the best in the business. We provide a competitive internship stipend and a fun and collaborative work environment.To Apply:Please submit your resume to catherine.lim@ltapparel.com.",,,Greensboro--Winston-Salem--High Point Area,103060.0,5.0,,,Temporary,,1712862491000.0,,https://www.linkedin.com/jobs/view/2735151240/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1715454491000.0,,,,1712862491000.0,,0,TEMPORARY,,,,,,"Summer Internshipadidas & Carhartt kids DivisionLT Apparel- Greensboro, NC Location
We are a leading apparel company that is constantly innovating and seeking new ways to improve. We are looking for a bright and motivated intern to join our team and help us streamline our costing process and build powerful predictive models.
Responsibilities:· Partner with the global sourcing team to review and analyze current costing models and identify areas to improve process efficiency.· Build and implement predictive product costing models.· Conduct data analysis to identify trends and patterns in material and production costs across various sourcing regions.Qualifications:· Candidate must be currently enrolled in an MBA program with a focus in data analytics.· Proven track record of academic excellence, with a strong understanding of data analysis, modeling, and visualization techniques.· Familiarity with data visualization tools (e.g., Tableau, Power BI).· Expertise in Microsoft Excel, including advanced formulas and functions.· A passion for working with data and an ability to translate complex information into actionable insights.· Excellent communication and interpersonal skills, with the ability to work effectively in a team environment.· A creative and innovative approach to problem-solving is a plus.
What we offer:This internship offers a unique opportunity to gain valuable experience in the fast-paced world of apparel manufacturing and data analysis while working with two established brands. You will work alongside industry experts in both sourcing and data, learning from the best in the business. We provide a competitive internship stipend and a fun and collaborative work environment.To Apply:Please submit your resume to catherine.lim@ltapparel.com."
3540371917,KeyBank,Enterprise Data & Analytics Infrastructure Manager,"The Enterprise Data Infrastructure and Analytics manager will lead a team of talented and highly motivated engineers to strengthen our infrastructure support of KeyBank’s data and analytics program. This individual will work to drive out stability, build a talent pipeline, ensure the stability and security of our Enterprise Data and Analytics platforms and help drive modernization of our overall infrastructure program.
Reach out for more details
",,,"Cleveland, OH",3252.0,30.0,,,Full-time,1.0,1713451518000.0,,https://www.linkedin.com/jobs/view/3540371917/?trk=jobs_biz_prem_srch,,SimpleOnsiteApply,1716043518000.0,,,,1713451518000.0,,0,FULL_TIME,,,,44102.0,39035.0,"The Enterprise Data Infrastructure and Analytics manager will lead a team of talented and highly motivated engineers to strengthen our infrastructure support of KeyBank’s data and analytics program. This individual will work to drive out stability, build a talent pipeline, ensure the stability and security of our Enterprise Data and Analytics platforms and help drive modernization of our overall infrastructure program.
Reach out for more details"
3742692445,ZenithMinds Inc,Sr Data Engineer with Kafka,"Data Engineer with Kafka (W2 Only)💯% Remote
Min 10 to12+ strong development experience neededVery strong experience in Kafka and Kafka data injection Strong exp in working with API.Strong exp in Python with AWS.Experience with Informatica IICS and Snowflake. Expertise in Snowflake's cloud data platform, including data loading, transformation, and querying using Snowflake SQL.Experience with SQL-based development, optimization, and tuning for large-scale data processing.Strong understanding of dimensional modeling concepts and experience in designing and implementing data models for analytics and reporting purposes.hands-on experience in IICS or Informatica Power Center ETL development1+ years of hands-on experience in Linux and shell scripting.1+ years of experience working with git.1+ years of related industry experience in an enterprise environment.1+ years of hands-on experience in Python programming.
",,,"Austin, TX",81941852.0,39.0,,,Full-time,10.0,1713208673000.0,1.0,https://www.linkedin.com/jobs/view/3742692445/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1728760635000.0,,,,1713208673000.0,,0,FULL_TIME,,,,78701.0,48453.0,"Data Engineer with Kafka (W2 Only)💯% Remote
Min 10 to12+ strong development experience neededVery strong experience in Kafka and Kafka data injection Strong exp in working with API.Strong exp in Python with AWS.Experience with Informatica IICS and Snowflake. Expertise in Snowflake's cloud data platform, including data loading, transformation, and querying using Snowflake SQL.Experience with SQL-based development, optimization, and tuning for large-scale data processing.Strong understanding of dimensional modeling concepts and experience in designing and implementing data models for analytics and reporting purposes.hands-on experience in IICS or Informatica Power Center ETL development1+ years of hands-on experience in Linux and shell scripting.1+ years of experience working with git.1+ years of related industry experience in an enterprise environment.1+ years of hands-on experience in Python programming."
3780415828,CapAcuity,Technical Business Analyst,"We’re actively seeking a Technical Business Analyst to join our team and help us continue to grow our business. As a Technical Business Analyst, you will be responsible for working with our information technology and business teams to understand our business requirements and translate them into technical specifications. You will also be responsible for working with our development team to ensure that our deliverables satisfy business requirements. Responsibilities include (but not limited to):Collaborate with project managers to define project scope, timelines, and deliverables.Analyze user requirements, user stories, use cases, and system architecture documents.Participate in design and testing activities for new and existing functionality.Conduct system and data validation checks to ensure accuracy and reliability.Identify and quantify business process improvements, contributing to operational efficiency.Train users on system functionalities and provide ongoing support as needed.Identify, analyze, and resolve system-specific issues through thorough research and analysis.Perform other duties as assigned to support project objectives and organizational goals. Skills and Qualifications:Bachelor degree in Business Administration, Finance, Computer Science, or related field.Proven experience as a Business Analyst in the IT industry, with 4+ years of progressive responsibility.Strong analytical skills with the ability to translate complex business needs into practical solutions.Proven ability to research, troubleshoot, and resolve complex problems.Strong written and verbal communication skills.Experience with T-SQL (SQL Server) is a plus, but not required Pay Range: $60,000 to $80,000Position Type: This is a 1099 position; with the potential to transition to W-2 permanent employmentPhysical setting: In Office, preferred; will consider remote for the right candidate.Work Location: Albany NY / Remote would ideally be based in the eastern time zoneBenefits: As a 1099 contractor, you will be responsible for your own benefits and tax obligations.",80000.0,YEARLY,"Albany, NY",32797105.0,4.0,,60000.0,Contract,,1713467576000.0,,https://www.linkedin.com/jobs/view/3780415828/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1729019593000.0,,,,1713467593000.0,,0,CONTRACT,USD,BASE_SALARY,70000.0,12202.0,36001.0,"We’re actively seeking a Technical Business Analyst to join our team and help us continue to grow our business. As a Technical Business Analyst, you will be responsible for working with our information technology and business teams to understand our business requirements and translate them into technical specifications. You will also be responsible for working with our development team to ensure that our deliverables satisfy business requirements. Responsibilities include (but not limited to):Collaborate with project managers to define project scope, timelines, and deliverables.Analyze user requirements, user stories, use cases, and system architecture documents.Participate in design and testing activities for new and existing functionality.Conduct system and data validation checks to ensure accuracy and reliability.Identify and quantify business process improvements, contributing to operational efficiency.Train users on system functionalities and provide ongoing support as needed.Identify, analyze, and resolve system-specific issues through thorough research and analysis.Perform other duties as assigned to support project objectives and organizational goals. Skills and Qualifications:Bachelor degree in Business Administration, Finance, Computer Science, or related field.Proven experience as a Business Analyst in the IT industry, with 4+ years of progressive responsibility.Strong analytical skills with the ability to translate complex business needs into practical solutions.Proven ability to research, troubleshoot, and resolve complex problems.Strong written and verbal communication skills.Experience with T-SQL (SQL Server) is a plus, but not required Pay Range: $60,000 to $80,000Position Type: This is a 1099 position; with the potential to transition to W-2 permanent employmentPhysical setting: In Office, preferred; will consider remote for the right candidate.Work Location: Albany NY / Remote would ideally be based in the eastern time zoneBenefits: As a 1099 contractor, you will be responsible for your own benefits and tax obligations."
3797449314,"Subaru Research and Development, Inc",Cloud Platform/ Big Data Engineer,"About Subaru Research and Development:Do you care about making social impacts through your job, like eliminating fatal accidents by improving safety driving systems, or reducing carbon emissions by developing new BEVs?Do your personal interests relate to road trips, going outdoors, off-road driving, hands-on work on cars, or rally and racing? If your answer is yes, then this job is right for you!
Subaru R&D is an innovation partner of SUBARU Corporation in Japan, and our mission is to serve as a R&D hub of the SUBARU Group. We strive to create products that ignite the hearts of our customers in North America market. We lead and support Subaru's next generation vehicle development by researching, prototyping, testing, and analyzing.
General Position Summary:Develops and directs software system tests, programming, and documentation. Analyzes North American customer data and technical trends to determine user demands and set target performance goals for future products, and coordinates testing with Japan counterparts.Develops, research, designs, implements, tests, and evaluates software and systems, in conjunction with vehicle hardware development, to enable vehicle compute units to perform their applications.Analyzes software requirements to determine feasibility of design within time and cost constraints.Consults with other vehicle development engineers and engineering staff to evaluate interfacing, operational, and performance requirements of overall systems mainly in cockpit.Formulates and designs software systems, using scientific analysis to measure outcomes of designs.
Responsibilities:Develop internal software solutions for data analysis, data ingestion, or web applications using Google Cloud Platform, Amazon Web Service, or Microsoft Azure.Enable back-end services across the Subaru vehicle connected system.Leverage both public and private cloud environments to ensure a robust and scalable infrastructure.Construct and adapt data models to support analysis work.Design unit and integration tests.Write technical reports and give feedback to Subaru Corporation in Japan by writings, emails, and presentations.Support the maintenance of internal web applications.Construct software tools and internal packages to scale data analysis work for other team members.Plan, conduct and evaluate the Proof of Concept (PoC) stage in developing Subaru's next generation infotainment system, cockpit system including meters, displays, buttons, etc.Plan, propose solutions, test the potential solutions, and evaluate the testing data, regarding how interface between software and vehicle hardware can be improved for big data analysis purposes.Collect data from prototype system, clean/prepare the data, analyze the data, and draw conclusions on the testing results.Collaborate with other technical experts including product managers, UI/UX designers, marketing experts, and other business stakeholders.
Qualifications:1-2 years previous automotive engineering experience including internship.Bachelor’s degree in mechanical engineering, electrical engineering, computer science, software engineering, or equivalent, or equivalent combination of education and experience.Knowledge and experience of big data analysis or statistical data processing is a plus.Knowledge and experience in Python, C++, or JAVA is a plus.Knowledge and/or certificate around AWS, GCP, or Azure is mandatory.Proof of relevant work via internships or an active Github page in lieu of professional experience is accepted.Communication skills across cultural and language barriers.
Compensation and Benefit:Individual base salary is determined by factors such as job-related skills, experience, and relevant education or training. In addition to competitive salary, Subaru offers an amazing benefits package that includes:Medical, Dental, Vision Plans Medical, Dental, Vision plans available on your first dayPension and 401K Match Offerings12 Vacation days for the first year. (The amount increases with the length of service.)14 Company Holidays, 3 Floating Holidays, and 5 Sick daysEducation Assistance Program/ Gym Membership AssistanceVehicle Discount Program/ Vehicle Lease Program
Equal Opportunity:Subaru R&D is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law.",,,"Michigan, United States",91080439.0,7.0,,,Full-time,1.0,1713553054000.0,,https://www.linkedin.com/jobs/view/3797449314/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1716145054000.0,,Entry level,,1713553054000.0,,0,FULL_TIME,,,,,,"About Subaru Research and Development:Do you care about making social impacts through your job, like eliminating fatal accidents by improving safety driving systems, or reducing carbon emissions by developing new BEVs?Do your personal interests relate to road trips, going outdoors, off-road driving, hands-on work on cars, or rally and racing? If your answer is yes, then this job is right for you!
Subaru R&D is an innovation partner of SUBARU Corporation in Japan, and our mission is to serve as a R&D hub of the SUBARU Group. We strive to create products that ignite the hearts of our customers in North America market. We lead and support Subaru's next generation vehicle development by researching, prototyping, testing, and analyzing.
General Position Summary:Develops and directs software system tests, programming, and documentation. Analyzes North American customer data and technical trends to determine user demands and set target performance goals for future products, and coordinates testing with Japan counterparts.Develops, research, designs, implements, tests, and evaluates software and systems, in conjunction with vehicle hardware development, to enable vehicle compute units to perform their applications.Analyzes software requirements to determine feasibility of design within time and cost constraints.Consults with other vehicle development engineers and engineering staff to evaluate interfacing, operational, and performance requirements of overall systems mainly in cockpit.Formulates and designs software systems, using scientific analysis to measure outcomes of designs.
Responsibilities:Develop internal software solutions for data analysis, data ingestion, or web applications using Google Cloud Platform, Amazon Web Service, or Microsoft Azure.Enable back-end services across the Subaru vehicle connected system.Leverage both public and private cloud environments to ensure a robust and scalable infrastructure.Construct and adapt data models to support analysis work.Design unit and integration tests.Write technical reports and give feedback to Subaru Corporation in Japan by writings, emails, and presentations.Support the maintenance of internal web applications.Construct software tools and internal packages to scale data analysis work for other team members.Plan, conduct and evaluate the Proof of Concept (PoC) stage in developing Subaru's next generation infotainment system, cockpit system including meters, displays, buttons, etc.Plan, propose solutions, test the potential solutions, and evaluate the testing data, regarding how interface between software and vehicle hardware can be improved for big data analysis purposes.Collect data from prototype system, clean/prepare the data, analyze the data, and draw conclusions on the testing results.Collaborate with other technical experts including product managers, UI/UX designers, marketing experts, and other business stakeholders.
Qualifications:1-2 years previous automotive engineering experience including internship.Bachelor’s degree in mechanical engineering, electrical engineering, computer science, software engineering, or equivalent, or equivalent combination of education and experience.Knowledge and experience of big data analysis or statistical data processing is a plus.Knowledge and experience in Python, C++, or JAVA is a plus.Knowledge and/or certificate around AWS, GCP, or Azure is mandatory.Proof of relevant work via internships or an active Github page in lieu of professional experience is accepted.Communication skills across cultural and language barriers.
Compensation and Benefit:Individual base salary is determined by factors such as job-related skills, experience, and relevant education or training. In addition to competitive salary, Subaru offers an amazing benefits package that includes:Medical, Dental, Vision Plans Medical, Dental, Vision plans available on your first dayPension and 401K Match Offerings12 Vacation days for the first year. (The amount increases with the length of service.)14 Company Holidays, 3 Floating Holidays, and 5 Sick daysEducation Assistance Program/ Gym Membership AssistanceVehicle Discount Program/ Vehicle Lease Program
Equal Opportunity:Subaru R&D is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law."
3800989742,SilverSpace Technologies Inc,Data Engineer/ETL,"Responsibilities:Develop new features, fix bugs, Writing and maintaining code in React, JavaScript, Typescript, and Node.js Using data and analytics to improve the product and customer experienceAccountable for code quality, including writing unit and integration testsWorking collaboratively with a team and refactor PHP and Javascript code for both the frontend and backend of a B2B SaaS product. You will work with another developer via Ping-Pong Programming to help you get up to speed on the code and be part of our initiative for Test Driven Development.Collaborate with the IT team to implement, test, and continuously deliver new features.Create and maintain endpoints.Contribute to all phases of the software development lifecycle.Design and develop applications in React, ensuring scalability, repeatability, support, etc.Develop complex, intelligent, and secure software applications with modern technologies for implementation on both client and servicer side.Build frontend UIs that are simple and powerful.Create code in full stack capacity – involving several languages.Adhere to best practices, technical standards, etc. through testing and team-wide support.Identify inefficiencies and analyze root cause and solutions.Stay up to date on the newest technologies and act as SME for upper management to propose and prioritize upgrades.
Requirements:0 - 3 + years of full stack software development experience BS in Computer Science or relevant field preferredExperience with React, Html, Css, Typescript, api, Javascript, Git, MySQL, Node, Apache, Docker, AWS, and other technologies and languages.Experience creating/maintaining endpoints.Strong background building authenticated APIs.Experience/knowledge of AWS Lambda Functionality.Ability to accurately estimate project scope and tasks, Self-starter capable of taking on tasks without explicit direction
",,,"Hartford, CT",71373471.0,39.0,,,Contract,12.0,1713533813000.0,,https://www.linkedin.com/jobs/view/3800989742/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1716125813000.0,,,,1713533813000.0,,0,CONTRACT,,,,6101.0,9003.0,"Responsibilities:Develop new features, fix bugs, Writing and maintaining code in React, JavaScript, Typescript, and Node.js Using data and analytics to improve the product and customer experienceAccountable for code quality, including writing unit and integration testsWorking collaboratively with a team and refactor PHP and Javascript code for both the frontend and backend of a B2B SaaS product. You will work with another developer via Ping-Pong Programming to help you get up to speed on the code and be part of our initiative for Test Driven Development.Collaborate with the IT team to implement, test, and continuously deliver new features.Create and maintain endpoints.Contribute to all phases of the software development lifecycle.Design and develop applications in React, ensuring scalability, repeatability, support, etc.Develop complex, intelligent, and secure software applications with modern technologies for implementation on both client and servicer side.Build frontend UIs that are simple and powerful.Create code in full stack capacity – involving several languages.Adhere to best practices, technical standards, etc. through testing and team-wide support.Identify inefficiencies and analyze root cause and solutions.Stay up to date on the newest technologies and act as SME for upper management to propose and prioritize upgrades.
Requirements:0 - 3 + years of full stack software development experience BS in Computer Science or relevant field preferredExperience with React, Html, Css, Typescript, api, Javascript, Git, MySQL, Node, Apache, Docker, AWS, and other technologies and languages.Experience creating/maintaining endpoints.Strong background building authenticated APIs.Experience/knowledge of AWS Lambda Functionality.Ability to accurately estimate project scope and tasks, Self-starter capable of taking on tasks without explicit direction"
3813645405,Tenazx Inc,Data Analyst,"Job Title: Data AnalystDuration: ContractLocation: Queens-NY (Day 1 onsite)-- Need only locals 

Role DescriptionThis is a contract role for a Data Analyst. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting complex data sets. You will work with various departments to identify patterns, trends, and insights that can be used to improve business operations. This is an on-site role located in Queens, NY.
QualificationsAnalytical skills, including the ability to collect, organize, analyze and disseminate significant amounts of information with attention to detail and accuracyData Analytics and Statistics skills, including experience with statistical analysis software and data visualization toolsExcellent communication skills, including the ability to explain technical concepts to non-technical stakeholders and present findings to both technical and non-technical audiencesData Modeling skills, including the ability to develop and maintain complex data models and schemasA Bachelor's degree in Computer Science, Mathematics, Statistics or related fieldExperience with cybersecurity, blockchain, or financial services industries is a plusExperience with SQL, Python, or R programming languages is preferred",,,"Queens, NY",82537206.0,4.0,,,Contract,,1713465279000.0,,https://www.linkedin.com/jobs/view/3813645405/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1716057279000.0,,,,1713465279000.0,,0,CONTRACT,,,,11427.0,36081.0,"Job Title: Data AnalystDuration: ContractLocation: Queens-NY (Day 1 onsite)-- Need only locals 

Role DescriptionThis is a contract role for a Data Analyst. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting complex data sets. You will work with various departments to identify patterns, trends, and insights that can be used to improve business operations. This is an on-site role located in Queens, NY.
QualificationsAnalytical skills, including the ability to collect, organize, analyze and disseminate significant amounts of information with attention to detail and accuracyData Analytics and Statistics skills, including experience with statistical analysis software and data visualization toolsExcellent communication skills, including the ability to explain technical concepts to non-technical stakeholders and present findings to both technical and non-technical audiencesData Modeling skills, including the ability to develop and maintain complex data models and schemasA Bachelor's degree in Computer Science, Mathematics, Statistics or related fieldExperience with cybersecurity, blockchain, or financial services industries is a plusExperience with SQL, Python, or R programming languages is preferred"
3841003722,,Senior Data Engineer/Analyst - Full Time,"Job Type: Full-Time, Permanent 
Responsibilities:
Ensure systems meet business requirements and industry practices for mortgage banking.Build high-performance algorithms, prototypes, predictive models, and proof of concepts.Integrate new data management technologies and software engineering tools into existing structures.Create data tools for analytics and line of business that assist them in building and optimizing our product into an innovative industry leader.Work with data and analytics experts to strive for greater functionality in our data systems.
Benefits:Flexible scheduleFlexible spending accountPaid time offReferral programTuition reimbursement
",107.0,HOURLY,"California, United States",,38.0,,101.0,Full-time,18.0,1709736254000.0,1.0,https://www.linkedin.com/jobs/view/3841003722/?trk=jobs_biz_prem_srch,,SimpleOnsiteApply,1729102265000.0,,,,1713550265000.0,,0,FULL_TIME,USD,BASE_SALARY,216320.0,,,"Job Type: Full-Time, Permanent 
Responsibilities:
Ensure systems meet business requirements and industry practices for mortgage banking.Build high-performance algorithms, prototypes, predictive models, and proof of concepts.Integrate new data management technologies and software engineering tools into existing structures.Create data tools for analytics and line of business that assist them in building and optimizing our product into an innovative industry leader.Work with data and analytics experts to strive for greater functionality in our data systems.
Benefits:Flexible scheduleFlexible spending accountPaid time offReferral programTuition reimbursement"
3844031840,Benda Infotech,Junior Business Analyst,"Company Description
 Benda Infotech is a technology solution provider based in Chicago, IL. We specialize in online reputation management, web development, search engine optimization, content marketing, and social media marketing. Our HR services include recruitment, onboarding, and performance management. With a focus on helping businesses grow and transform with technology, we find solutions to increase efficiency, improve customer service, expand into new markets, develop new products or services, and reduce costs.
 Role Description
 This is a full-time on-site role as a Junior Business Analyst at Benda Infotech. As a Junior Business Analyst, you will be responsible for conducting business analysis, gathering and documenting business requirements, and assisting in business process improvement. You will collaborate with cross-functional teams to identify and analyze business needs and provide insights and recommendations to stakeholders.
 Qualifications
 Strong analytical skills and ability to think criticallyExperience or knowledge in business analysisExcellent written and verbal communication skillsUnderstanding of business processes and ability to identify areas for improvementAbility to gather and document business requirementsProficiency in Microsoft Office SuiteExperience with project management methodologies and toolsBachelor's degree in Business Administration or related fieldRelevant certifications in business analysis or project management
 Experience in the technology industry and familiarity with software development lifecycles would be beneficial for this role.",,,"Chicago, IL",94833098.0,8.0,,,Full-time,2.0,1712858291000.0,,https://www.linkedin.com/jobs/view/3844031840/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1728410216000.0,,,,1712858291000.0,,0,FULL_TIME,,,,60601.0,17031.0,"Company Description
 Benda Infotech is a technology solution provider based in Chicago, IL. We specialize in online reputation management, web development, search engine optimization, content marketing, and social media marketing. Our HR services include recruitment, onboarding, and performance management. With a focus on helping businesses grow and transform with technology, we find solutions to increase efficiency, improve customer service, expand into new markets, develop new products or services, and reduce costs.
 Role Description
 This is a full-time on-site role as a Junior Business Analyst at Benda Infotech. As a Junior Business Analyst, you will be responsible for conducting business analysis, gathering and documenting business requirements, and assisting in business process improvement. You will collaborate with cross-functional teams to identify and analyze business needs and provide insights and recommendations to stakeholders.
 Qualifications
 Strong analytical skills and ability to think criticallyExperience or knowledge in business analysisExcellent written and verbal communication skillsUnderstanding of business processes and ability to identify areas for improvementAbility to gather and document business requirementsProficiency in Microsoft Office SuiteExperience with project management methodologies and toolsBachelor's degree in Business Administration or related fieldRelevant certifications in business analysis or project management
 Experience in the technology industry and familiarity with software development lifecycles would be beneficial for this role."
3848960304,Symbolica AI,Senior Machine Learning Research Engineer,"Symbolica is building a new foundation for large-scale AI using structured, interpretable reasoning. We are expanding our team and seeking machine learning research engineers to contribute to the development of our cutting-edge code synthesis and theorem proving models. This is an opportunity to be part of a transformative project and make significant contributions to the field of AI.
Responsibilities:Contribute to the design and implementation of machine learning architectures and algorithms for theorem proving, code synthesis, and text generationScale prototype models up using distributed training techniquesDevelop optimized GPU kernels to maximize model performanceIdentify performance bottlenecks using benchmarking and profiling toolsDesign and implement new mechanisms for model parallelismDesign and execute experiments to guide model development process while making effective use of compute budgetDevelop tools to gain insight into model behavior via fine-grained reporting and visualizationMaintain a deep understanding of current techniques in deep learning. Understand, implement, and improve on methods described in machine learning literatureCollaborate with a team of machine learning researchers and engineers to achieve project goals
Qualifications:Proficiency with Python deep learning libraries such as PyTorch and JAXExperience with distributed training of large scale deep learning modelsFive years of experience in non-academic machine learning engineering roles, or two years with a relevant PhDNice to have: Proficiency with GPU kernel development using CUDA or Triton

In-person in our Bay Area office is preferred, but we will be happy to consider exceptional candidates in other locations.
We offer competitive compensation, including equity, health insurance, and 401k benefits. Salary and equity levels are commensurate with experience and location.",350000.0,YEARLY,San Francisco Bay Area,82669556.0,12.0,,150000.0,Full-time,,1712669599000.0,,https://www.linkedin.com/jobs/view/3848960304/?trk=jobs_biz_prem_srch,https://jobs.gusto.com/postings/-senior-machine-learning-research-engineer-adea35a2-7329-440e-b2ca-4f66ea76aa26,OffsiteApply,1715261599000.0,1712670122000.0,,,1712669599000.0,,0,FULL_TIME,USD,BASE_SALARY,250000.0,,,"Symbolica is building a new foundation for large-scale AI using structured, interpretable reasoning. We are expanding our team and seeking machine learning research engineers to contribute to the development of our cutting-edge code synthesis and theorem proving models. This is an opportunity to be part of a transformative project and make significant contributions to the field of AI.
Responsibilities:Contribute to the design and implementation of machine learning architectures and algorithms for theorem proving, code synthesis, and text generationScale prototype models up using distributed training techniquesDevelop optimized GPU kernels to maximize model performanceIdentify performance bottlenecks using benchmarking and profiling toolsDesign and implement new mechanisms for model parallelismDesign and execute experiments to guide model development process while making effective use of compute budgetDevelop tools to gain insight into model behavior via fine-grained reporting and visualizationMaintain a deep understanding of current techniques in deep learning. Understand, implement, and improve on methods described in machine learning literatureCollaborate with a team of machine learning researchers and engineers to achieve project goals
Qualifications:Proficiency with Python deep learning libraries such as PyTorch and JAXExperience with distributed training of large scale deep learning modelsFive years of experience in non-academic machine learning engineering roles, or two years with a relevant PhDNice to have: Proficiency with GPU kernel development using CUDA or Triton

In-person in our Bay Area office is preferred, but we will be happy to consider exceptional candidates in other locations.
We offer competitive compensation, including equity, health insurance, and 401k benefits. Salary and equity levels are commensurate with experience and location."
