job_id,skill_type,original_skill,normalized_skill,category,method,confidence,esco_uri
3891074946,technical,Microsoft Office,use microsoft office,,fuzzy_preferred,0.95,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535
3891074946,technical,Excel,Microsoft Excel,Spreadsheet,technology_dictionary,1.0,
3891074946,technical,VLOOKUP,,,unmatched,0.0,
3891074946,technical,Pivot tables,,,unmatched,0.0,
3891074946,technical,SQL,SQL,Database Language,technology_dictionary,1.0,
3891074946,technical,Tableau,Tableau,BI Tool,technology_dictionary,1.0,
3891074946,technical,R,R,Programming Language,technology_dictionary,1.0,
3891074946,technical,Power BI,Power BI,BI Tool,technology_dictionary,1.0,
3891074946,technical,Python,Python,Programming Language,technology_dictionary,1.0,
3891074946,technical,Azure DevOps,,,unmatched,0.0,
3891074946,tool,Microsoft Office,use microsoft office,,fuzzy_preferred,0.95,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535
3891074946,soft,Analytical skills,,,unmatched,0.0,
3891074946,soft,Critical thinking skills,,,unmatched,0.0,
3891074946,soft,Communication skills,teach communication methods,,fuzzy_alt,0.95,http://data.europa.eu/esco/skill/f5122357-c3f7-4f3e-b0cc-25173199d554
3891074946,soft,Interpersonal skills,,,unmatched,0.0,
3891074946,soft,Time management skills,manage time in tourism,,fuzzy_alt,0.95,http://data.europa.eu/esco/skill/86ffa56b-12f5-4dcd-8afd-9251fbb6b496
3891074946,soft,Adaptability,,,unmatched,0.0,
3891074946,soft,Self-motivation,motivate others,,semantic,0.7575,http://data.europa.eu/esco/skill/e2d44a9b-f28c-489e-9861-b654b5ded507
3891074946,soft,Attention to detail,attend to detail,,semantic,0.7608,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7
3891074946,certification,Certificate or experience with Azure DevOps,,,unmatched,0.0,
3887101270,technical,JIRA,,,unmatched,0.0,
3887101270,technical,Figma,,,unmatched,0.0,
3887101270,technical,Adobe Xd,,,unmatched,0.0,
3887101270,technical,Agile development,Agile development,,exact,1.0,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221
3887101270,technical,Data infrastructure,information structure,,alt_label,0.99,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339
3887101270,technical,Platform engineering,hardware platforms,,semantic,0.7907,http://data.europa.eu/esco/skill/117373c8-f04b-4fff-8683-aebe36edac81
3887101270,technical,Backend engineering,,,unmatched,0.0,
3887101270,technical,Data engineering,data engineering,,exact,1.0,http://data.europa.eu/esco/skill/48db96bf-3314-45c6-bad8-fdb6e20e5639
3887101270,tool,JIRA,,,unmatched,0.0,
3887101270,tool,Figma,,,unmatched,0.0,
3887101270,tool,Adobe Xd,,,unmatched,0.0,
3887101270,soft,Leadership,leadership principles,,semantic,0.77,http://data.europa.eu/esco/skill/d5145a9a-602e-40bf-b3e1-f04cf9c3ef86
3887101270,soft,Communication,communication,,exact,1.0,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7
3887101270,soft,Collaboration,,,unmatched,0.0,
3887101270,soft,Customer empathy,,,unmatched,0.0,
3887101270,soft,Partnership skills,,,unmatched,0.0,
3887101270,soft,Entrepreneurial spirit,show entrepreneurial spirit,,fuzzy_preferred,0.95,http://data.europa.eu/esco/skill/bdcf429c-5ccf-4c3d-bb61-4c987573a35e
3887101270,soft,Growth mindset,,,unmatched,0.0,
3903434413,technical,AWS,Amazon Web Services,Cloud,technology_dictionary,1.0,
3903434413,technical,python,Python,Programming Language,technology_dictionary,1.0,
3903434413,soft,team work,work in teams,,semantic,0.8173,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0
3903434413,soft,motivation,motivate others,,semantic,0.755,http://data.europa.eu/esco/skill/e2d44a9b-f28c-489e-9861-b654b5ded507
3903434413,soft,mentoring,mentor individuals,,semantic,0.8722,http://data.europa.eu/esco/skill/a584a638-a2c0-4b3c-bdf3-a64f87225be9
3902357366,technical,API connectivity,,,unmatched,0.0,
3902357366,technical,web/mobile products,,,unmatched,0.0,
3902357366,technical,retail functionality,,,unmatched,0.0,
3902357366,tool,Jira,,,unmatched,0.0,
3902357366,soft,Strong communication skills,,,unmatched,0.0,
3902357366,soft,outgoing,,,unmatched,0.0,
3902357366,soft,personable personality,,,unmatched,0.0,
3902348430,technical,SAP FICO,,,unmatched,0.0,
3902348430,technical,SAP S4,SAP R3,,semantic,0.7695,http://data.europa.eu/esco/skill/bb99af26-71ff-4dca-bde7-1eb1f6194426
3902348430,technical,SAP FI,SAP R3,,semantic,0.7619,http://data.europa.eu/esco/skill/bb99af26-71ff-4dca-bde7-1eb1f6194426
3902348430,technical,SAP CO,SAP R3,,semantic,0.7701,http://data.europa.eu/esco/skill/bb99af26-71ff-4dca-bde7-1eb1f6194426
3902348430,technical,SAC Analytics,,,unmatched,0.0,
3902348430,technical,SAC Planning,,,unmatched,0.0,
3902348430,technical,SQL,SQL,Database Language,technology_dictionary,1.0,
3902348430,technical,ERP,,,unmatched,0.0,
3902348430,tool,Project management tools,project management,,fuzzy_preferred,0.95,http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388
3902348430,tool,SAP tools,SAP Data Services,,semantic,0.7534,http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4
3902348430,tool,Reporting tools,develop reporting software,,semantic,0.8366,http://data.europa.eu/esco/skill/9d2f77af-4307-4ac5-bc50-a9980cec7e83
3902348430,soft,Communication,communication,,exact,1.0,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7
3902348430,soft,Presentation,prepare presentation material,,semantic,0.7906,http://data.europa.eu/esco/skill/1ba59ce0-7fec-434b-8d5c-9b275250a26c
3902348430,soft,Interpersonal,,,unmatched,0.0,
3902348430,soft,Analytical,think analytically,,semantic,0.7528,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137
3902348430,soft,Problem-solving,solve problems,,fuzzy_alt,0.95,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869
3902348430,soft,Time management,manage time,,semantic,0.8936,http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8
3902348430,soft,Customer service,customer service,,exact,1.0,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc
3902348430,soft,Teamwork,manage teamwork,,semantic,0.8047,http://data.europa.eu/esco/skill/75e48971-3242-4ea5-a1ba-4deec48ad41c
3888994430,technical,Python,Python,Programming Language,technology_dictionary,1.0,
3888994430,technical,SQL,SQL,Database Language,technology_dictionary,1.0,
3888994430,technical,ETL tools,,,unmatched,0.0,
3888994430,technical,PostgreSQL databases,PostgreSQL,,semantic,0.793,http://data.europa.eu/esco/skill/a8d07b5a-c1a1-42c6-9d53-db9c7a2ca996
3888994430,technical,data modeling,data models,,fuzzy_alt,0.96,http://data.europa.eu/esco/skill/fecf8a0d-62c4-4e71-9b03-0f4fc2ad7bf5
3888994430,technical,database design principles,design database scheme,,semantic,0.7937,http://data.europa.eu/esco/skill/6c08403c-a5bb-4868-b8c2-b7d039c0e511
3888994430,soft,problem-solving skills,solve problems,,semantic,0.7688,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869
3888994430,soft,communication skills,teach communication methods,,fuzzy_alt,0.95,http://data.europa.eu/esco/skill/f5122357-c3f7-4f3e-b0cc-25173199d554
3888994430,soft,interpersonal skills,,,unmatched,0.0,
3888994430,soft,ability to work independently and in a team environment,,,unmatched,0.0,
3906253680,technical,ERP software,transportation software related to an ERP system,,semantic,0.7893,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba
3906253680,technical,HCM software,,,unmatched,0.0,
3906253680,technical,Workforce Management software,,,unmatched,0.0,
3906253680,technical,SaaS,service-oriented modelling,,alt_label,0.99,http://data.europa.eu/esco/skill/83218cac-3599-417e-93d2-26013cdccd98
3906253680,soft,Strong organizational,,,unmatched,0.0,
3906253680,soft,planning,urban planning,,semantic,0.7856,http://data.europa.eu/esco/skill/7f18039d-dfae-471b-9daa-507f6b2d2842
3906253680,soft,time management,manage time,,semantic,0.8936,http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8
3906253680,soft,problem solving,solve problems,,fuzzy_alt,0.95,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869
3906253680,soft,critical thinking,think critically,,fuzzy_alt,0.95,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9
3906253680,soft,conflict resolutions,conflict management,,fuzzy_alt,0.97,http://data.europa.eu/esco/skill/afd49651-9119-4327-91fc-844a6dda1254
3906253680,soft,English communication,communication,,semantic,0.7746,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7
3903875936,technical,relational SQL,SQL,,semantic,0.8105,http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742
3903875936,technical,NoSQL databases,NoSQL,,semantic,0.8557,http://data.europa.eu/esco/skill/76ef6ed3-1658-4a1a-9593-204d799c6d0c
3903875936,technical,DynamoDB,,,unmatched,0.0,
3903875936,technical,RDS Postgres,,,unmatched,0.0,
3903875936,technical,Oracle,Oracle Relational Database,,semantic,0.7527,http://data.europa.eu/esco/skill/de9f85ba-e77f-48fd-8c66-f5ebaf32d655
3903875936,technical,data pipeline,analyse pipeline database information,,semantic,0.7723,http://data.europa.eu/esco/skill/484d048c-a5d1-46a5-b57f-45b69c0ac552
3903875936,technical,workflow management,manage workflow processes,,semantic,0.8467,http://data.europa.eu/esco/skill/7add3681-17b6-4027-8a9d-ee92d2b96a42
3903875936,technical,Air Flow,control air flow,,semantic,0.8102,http://data.europa.eu/esco/skill/a1728801-a4fd-47b5-862f-12e837f0933c
3903875936,technical,ControlM,,,unmatched,0.0,
3903875936,technical,AWS EC2,,,unmatched,0.0,
3903875936,technical,S3,,,unmatched,0.0,
3903875936,technical,IAM,digital identity management,,alt_label,0.99,http://data.europa.eu/esco/skill/33efa504-2f26-424d-b662-cee77e6e9c93
3903875936,technical,Python,Python,Programming Language,technology_dictionary,1.0,
3903875936,technical,CI/CD tools,,,unmatched,0.0,
3903875936,technical,Jenkins,Jenkins (tools for software configuration management),,alt_label,0.99,http://data.europa.eu/esco/skill/f47a1998-0beb-43be-9f46-380aa4d183da
3903875936,technical,full-stack development,,,unmatched,0.0,
