,missing_count,missing_percentage
closed_time,122776,99.13
skills_desc,121410,98.03
med_salary,117569,94.93
remote_allowed,108603,87.69
applies,100529,81.17
min_salary,94056,75.94
max_salary,94056,75.94
pay_period,87776,70.87
compensation_type,87776,70.87
normalized_salary,87776,70.87
currency,87776,70.87
posting_domain,39968,32.27
application_url,36665,29.6
formatted_experience_level,29409,23.75
fips,27415,22.14
zip_code,20872,16.85
company_name,1719,1.39
company_id,1717,1.39
views,1689,1.36
description,7,0.01
