company,skill,frequency
Capital One,machine learning,7
USAA,statistics,7
Capital One,Scala,6
Capital One,Python,5
Capital One,R,5
Capital One,SQL,5
Capital One,cloud technologies,5
Capital One,ski,5
"REV Group, Inc",solar energy,5
Capital One,Apache Spark,4
OpTech,Microsoft Excel,4
Genmab,R,4
Capital One,computer programming,4
Capital One,statistics,4
Nordstrom,statistics,4
SullivanCotter,Microsoft Excel,3
CBTS,SAP Data Services,3
Capital One,Scikit-learn,3
Capital One,PyTorch,3
Capital One,TensorFlow,3
Randstad Digital,R,3
ATC,ICT project management methodologies,3
ATC,Software Development Life Cycle,3
ATC,Requirements Gathering,3
Brighton Jones,R,3
AspiringIT,database management systems,3
NetApp,asset management,3
Capital One,deep learning,3
Capital One,Source (digital game creation systems),3
Capital One,database,3
Capital One,Amazon Web Services,3
Cisco,R,3
Capital One,solar energy,3
Robbie AI,computer vision,3
Maxonic,computer programming,3
Cognizant,statistics,3
Capital One,ICT project management methodologies,3
Capital One,natural gas,3
Rose International,computer programming,3
Frost,statistics,3
Citi,semiconductors,3
Westlake,solar energy,3
Auburn University,use computer telephony integration,3
Vaco,database,3
Thoughtwave Software and Solutions,R,3
Encore Talent Solutions,SAP Data Services,3
The Hawk Group,R,3
TikTok,Python,2
TikTok,database,2
Fidelity Investments,R,2
Capital One,Java (computer programming),2
Capital One,Dask,2
National Indemnity Company,ICT project management methodologies,2
Experis,machine learning,2
Prodware Solutions,deep learning,2
Prodware Solutions,electrical machines,2
Prodware Solutions,natural language processing,2
Prodware Solutions,Large Language Models,2
"Teaching Strategies, LLC",R,2
C2FO,radiotherapy,2
Synechron,Databricks,2
Brighton Jones,database,2
McKesson,business intelligence,2
McKesson,R,2
TELUS International AI Data Solutions,reverse engineering,2
TELUS International AI Data Solutions,search engines,2
Staffmark Group,R,2
DP Professionals (DPP),SQL,2
Capital Group,Microsoft Copilot,2
Verizon,SQL,2
Verizon,R,2
Verizon,Python,2
Verizon,Tableau,2
Cisco,natural gas,2
Capital One,teach secondary education class content,2
Capital One,H2O.ai,2
Capital One,debt classification,2
Capital One,Sentiment Analysis,2
Capital One,Time Series Analysis,2
Genmab,Databricks,2
Robbie AI,R,2
TikTok,R,2
TikTok,algorithms,2
TELUS International,search engines,2
