job_id,skill_type,original_skill,normalized_skill,category,method,confidence,esco_uri
3891074946,technical,Requirements Gathering,interact with users to gather requirements,,semantic,0.7574,http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363
3891074946,technical,Requirements Analysis,analyse business requirements,,fuzzy_alt,0.95,http://data.europa.eu/esco/skill/b04f377b-ee80-4b38-aca1-19d266a23b17
3891074946,technical,Requirements Documentation,,,unmatched,0.0,
3891074946,technical,User Acceptance Testing (UAT),,,unmatched,0.0,
3891074946,technical,Integration Testing,execute integration testing,,fuzzy_preferred,0.95,http://data.europa.eu/esco/skill/ea412de3-9d7a-4943-8d8c-c6d3c7495d0e
3891074946,technical,Data Cleaning,perform data cleansing,,semantic,0.8936,http://data.europa.eu/esco/skill/50b100ea-74fd-4706-99db-3e4ca55e51b8
3891074946,technical,Data Analysis,statistics,,alt_label,0.99,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833
3891074946,technical,Database Management,database management systems,,fuzzy_preferred,0.95,http://data.europa.eu/esco/skill/ab1e97ed-2319-4293-a8b7-072d2648822f
3891074946,technical,Business Process Automation,operate automated process control,,semantic,0.7621,http://data.europa.eu/esco/skill/0a0532c2-ee60-4410-8e07-70e4d69370ec
3891074946,technical,Agile,ICT project management methodologies,,alt_label,0.99,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9
3891074946,technical,Scrum,ICT project management methodologies,,alt_label,0.99,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9
3891074946,technical,User Story Writing,,,unmatched,0.0,
3891074946,technical,Test Planning,,,unmatched,0.0,
3891074946,technical,Microsoft Office,use microsoft office,,fuzzy_preferred,0.95,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535
3891074946,tool,Microsoft Excel,Microsoft Excel,Spreadsheet,technology_dictionary,1.0,
3891074946,technical,SQL,SQL,Database Language,technology_dictionary,1.0,
3891074946,tool,Tableau,Tableau,BI Tool,technology_dictionary,1.0,
3891074946,technical,R,R,Programming Language,technology_dictionary,1.0,
