location,skill,frequency
United States,SQL,10
United States,Python,10
"Atlanta, GA",R,7
United States,statistics,7
United States,Microsoft Excel,6
"Cincinnati, OH",SAP Data Services,6
"New York, NY",SQL,6
United States,R,5
"Princeton, NJ",R,5
"Tampa, FL",database,5
"Tampa, FL",computer programming,5
"McLean, VA",ski,5
"Ocala, FL",solar energy,5
"Tampa, FL",statistics,5
United States,Tableau,4
United States,Power BI,4
United States,natural language processing,4
United States,database,4
"Auburn Hills, MI",Microsoft Excel,4
"McLean, VA",machine learning,4
"Newark, NJ",statistics,4
United States,machine learning,4
United States,computer programming,4
"Los Angeles, CA",computer programming,4
"Los Angeles, CA",statistics,4
"McLean, VA",computer programming,4
"Tampa, FL",integrated circuits,4
"Centennial, CO",statistics,4
"Tampa, FL",natural gas,4
"New York, NY",R,4
"Durham, NC",SQL,3
"Durham, NC",R,3
"McLean, VA",Scala,3
"Atlanta, GA",SQL,3
"Seattle, WA",R,3
"Austin, TX",database management systems,3
"Triangle, NC",asset management,3
United States,Amazon Web Services,3
"San Francisco, CA",R,3
"Tulsa, OK",computer vision,3
United States,integrated circuits,3
United States,Scala,3
United States,data science,3
"Los Angeles, CA",business analysis,3
United States,business intelligence,3
"Houston, TX",business processes,3
"McLean, VA",natural gas,3
"Tampa, FL",radiotherapy,3
"San Antonio, TX",statistics,3
"McLean, VA",statistics,3
"Tampa, FL",semiconductors,3
"Tampa, FL",risk management,3
"Houston, TX",solar energy,3
"Auburn, AL",use computer telephony integration,3
Dallas-Fort Worth Metroplex,R,3
"Anchorage, AK",R,3
"Cincinnati, OH",semiconductors,2
"Cincinnati, OH",plan,2
"Cincinnati, OH",SQL,2
"Los Angeles, CA",database,2
"Los Angeles, CA",data models,2
"Charlotte, NC",R,2
"Durham, NC",Python,2
"McLean, VA",Python,2
"McLean, VA",R,2
"McLean, VA",SQL,2
"McLean, VA",Scikit-learn,2
"McLean, VA",PyTorch,2
"McLean, VA",TensorFlow,2
"Omaha, NE",ICT project management methodologies,2
"Atlanta, GA",SQL Server,2
"Princeton, NJ",machine learning,2
United States,deep learning,2
United States,Large Language Models,2
"Bethesda, MD",R,2
Kansas City Metropolitan Area,radiotherapy,2
New York City Metropolitan Area,Databricks,2
"Seattle, WA",database,2
"New York, NY",Microsoft Excel,2
"Austin, TX",Microsoft Excel,2
"Illinois, United States",business intelligence,2
"Illinois, United States",R,2
"Plano, TX",R,2
"Columbia, SC",SQL,2
"Irvine, CA",integrated circuits,2
"Irvine, CA",Microsoft Copilot,2
"Basking Ridge, NJ",SQL,2
"Basking Ridge, NJ",R,2
"Basking Ridge, NJ",Python,2
"Basking Ridge, NJ",Tableau,2
United States,Apache Spark,2
United States,Apache Airflow,2
"Austin, TX",Python,2
"San Francisco, CA",Python,2
"San Francisco, CA",natural gas,2
"Chicago, IL",SQL,2
"Princeton, NJ",Python,2
"Princeton, NJ",Databricks,2
"Newark, NJ",R,2
"Tulsa, OK",R,2
"San Jose, CA",R,2
"San Jose, CA",algorithms,2
United States,ICT project management methodologies,2
United States,Docker,2
United States,Kubernetes,2
United States,blockchain consensus mechanisms,2
"Newark, NJ",SQL,2
"Milwaukee, WI",plan,2
"Milwaukee, WI",semiconductors,2
"Bentonville, AR",machine learning,2
"Houston, TX",machine learning,2
"Houston, TX",computer programming,2
"Houston, TX",natural gas,2
"Los Angeles, CA",troubleshoot,2
"Los Angeles, CA",learning management systems,2
"Los Angeles, CA",use computer telephony integration,2
United States,use computer telephony integration,2
United States,principles of artificial intelligence,2
"Wayzata, MN",business intelligence,2
"Wayzata, MN",computer programming,2
"Wayzata, MN",statistics,2
United States,computer vision,2
United States,perform software unit testing,2
United States,execute integration testing,2
United States,data analytics,2
"New York, NY",computer programming,2
"Dallas, TX",statistics,2
"Dallas, TX",data models,2
"Dallas, TX",information architecture,2
"Dallas, TX",analyse pipeline database information,2
"Dallas, TX",computer programming,2
"Clearwater, FL",radiotherapy,2
"Clearwater, FL",statistics,2
"Houston, TX",R,2
"Houston, TX",apply change management,2
"Los Angeles, CA",Financial Modeling,2
"Houston, TX",business analysis,2
"Houston, TX",liaise with quality assurance,2
"Chesterfield, VA",statistics,2
"Los Angeles, CA",financial analysis,2
"New York, United States",plan,2
"McLean, VA",ICT project management methodologies,2
"McLean, VA",cloud technologies,2
"McLean, VA",Data Governance,2
"McLean, VA",learning management systems,2
"Baltimore, MD",statistics,2
"Baltimore, MD",sing,2
"Baltimore, MD",R,2
"Tampa, FL",define data quality criteria,2
"Tampa, FL",IBM InfoSphere DataStage,2
"Tampa, FL",data warehouse,2
"Tampa, FL",identify process improvements,2
"Tampa, FL",data storage,2
"New York, NY",cloud technologies,2
"New York, NY",statistics,2
"New York, NY",machine learning,2
"New York, NY",solar energy,2
"New York, NY",ICT project management methodologies,2
"McLean, VA",semiconductors,2
"McLean, VA",business intelligence,2
"Tampa, FL",Data Governance,2
"Tampa, FL",communication,2
United States,statistical modeling techniques,2
United States,data visualisation software,2
United States,solve problems,2
"Houston, TX",Microsoft SharePoint,2
"Houston, TX",plan,2
United States,quantitative analysis,2
United States,identify process improvements,2
"Tampa, FL",cloud technologies,2
"Tampa, FL",data models,2
"Middletown, PA",use computer telephony integration,2
"Auburn, AL",solar energy,2
"Auburn, AL",business analysis,2
"Truckee, CA",computer programming,2
"Truckee, CA",statistics,2
"Tampa, FL",CI/CD,2
"Warrendale, PA",ML (computer programming),2
"Houston, TX",information architecture,2
"Houston, TX",integrated circuits,2
"Milwaukee, WI",SAP FICO,2
"Atlanta, GA",Amazon Web Services,2
"Atlanta, GA",business intelligence,2
"New York, NY",Python,2
"New York, NY",Apache Spark,2
"New York, NY",Scala,2
"Madison, WI",R,2
"Atlanta, GA",computer programming,2
United States,data warehouse,2
United States,semiconductors,2
"Columbus, OH",R,2
"Irvine, CA",SQL,2
"Irvine, CA",Power BI,2
"Irvine, CA",blockchain consensus mechanisms,2
United States,Microsoft Office,1
United States,Azure DevOps,1
