job_id,title,normalized_role
3903875936,Data Engineer- AWS (Python/ Airflow/ RDS),Data Engineer
3895272957,Global Quality Process Development & Data Analytics Leader,Global Quality Process Development & Data Analytics Leader
3898174637,Talent Management Consultant / Data Analyst,Data Analyst
3891072418,Systems/Data Analyst - SQL/ETL,Data Analyst
3903846556,Engineering Manager - Data Engineering,Data Engineer
3903462753,Business Analyst - Finance & Purchasing,Business Analyst
3901353972,NLP Data Scientist - Python | Machine Learning | AI - Hybrid - TS/SCI - Tampa or DC,Data Scientist
3901938989,Business Analyst II (UI/UX design) ,Business Analyst
3894876574,"(Senior) Bioinformatics Data Engineer, Translational and Quantitative Sciences Data Engineering",Data Engineer
3901673468,Manager of Sustainability Reporting & Analytics,Manager of Sustainability Reporting & Analytics
3905208418,Manager Resources and Analytics,Manager Resources and Analytics
3906261179,Principal Data Scientist (Credit Risk & Decision Science),Data Scientist
3891289535,"Senior Director, Workforce Planning & Analytics","Senior Director, Workforce Planning & Analytics"
3887718042,Office/Administration - Data Analyst Lv3 #: 24-02340,Data Analyst
3895532596,"Engineering Manager, Analytics","Engineering Manager, Analytics"
3901634556,Business Analyst for Primary Dealership & FR2004 Reporting Exp ,Business Analyst
3905226345,Manager-Talent Acquisition Operations and Analytics,Manager-Talent Acquisition Operations and Analytics
3906248729,"Business Analyst, Retirement & Pension - Consulting",Business Analyst
3901394550,Academic Analytics & Assessment Associate ,Academic Analytics & Assessment Associate 
3901944725,"Senior Financial Analyst, Business Analytics - Planning &  Strategy","Senior Financial Analyst, Business Analytics - Planning &  Strategy"
3902760382,HR Delivery - Governance & Analytics Manager,Analytics Manager
3905300309,Analyst Sr.-Functional (Project Manager/ Business Analyst),Business Analyst
3901343732,D365 Finance & Operations IT Sr. Business Analyst - Finance,Business Analyst
3900961567,Business Systems Analyst (Exstream Developer),Business Analyst
3904970171,IT Business Analyst/Senior IT Business Analyst,Business Analyst
3901995691,Head of Corporate Technology Intelligent Systems Data and Analytics - Senior Principal Data Architect,Data Architect
3901694555,Analytics & Data Management - Supply Chain Sector - Senior Manager - Consulting - Location OPEN,Analytics & Data Management - Supply Chain Sector - Senior Manager - Consulting - Location OPEN
3902783695,Business Analyst - Supply Chain and Financial,Business Analyst
3902864219,Business Analyst/QA - Trading Systems,Business Analyst
3901678622,Product / business Analyst,Business Analyst
3889756865,Data Analyst/Engineer Techno Functional Analyst (Jersey City) x2,Data Analyst
3899544343,Senior Manager of Talent Acquisition Analytics & Business Intelligence (Direct-Hire / Remote),Senior Manager of Talent Acquisition Analytics & Business Intelligence (Direct-Hire / Remote)
