skill,frequency
R,83
statistics,77
SQL,75
Python,63
computer programming,57
machine learning,39
Microsoft Excel,34
natural gas,30
database,28
business analysis,27
ICT project management methodologies,25
use computer telephony integration,24
data models,23
business intelligence,22
integrated circuits,21
solar energy,21
Power BI,21
data visualisation software,21
project management,20
radiotherapy,20
semiconductors,20
data mining,18
Scala,18
reverse engineering,18
Tableau,17
Apache Spark,16
data engineering,16
solve problems,14
"data extraction, transformation and loading tools",14
Data Governance,13
cloud technologies,13
natural language processing,13
Amazon Web Services,13
plan,12
learning management systems,12
identify process improvements,12
deep learning,12
interact with users to gather requirements,11
SAP Data Services,11
ski,11
types of tidal stream generators,11
principles of artificial intelligence,11
sing,10
data warehouse,10
Java (computer programming),10
analyse pipeline database information,10
CI/CD,10
TensorFlow,10
PyTorch,10
define data quality criteria,9
risk management,9
engage with stakeholders,9
SAS,9
database management systems,9
ML (computer programming),9
C++,9
data analytics,9
business processes,9
information architecture,8
communication,8
supervision of persons,8
Snowflake,8
computer vision,8
public relations,8
SQL Server,8
Jira,8
use presentation software,7
Databricks,7
statistical modeling techniques,7
think creatively,7
DevOps,7
Apache Airflow,6
Git,6
blockchain consensus mechanisms,6
process data,6
data science,6
create prototype of user experience solutions,6
liaise with quality assurance,6
Apache Hadoop,6
Microsoft Office,6
Microsoft SharePoint,6
algorithms,6
Scikit-learn,6
demonstrate leadership in social service cases,6
JavaScript,6
write technical reports,5
financial analysis,5
computer technology,5
make decisions,5
Agile development,5
Data Manipulation,5
Visual Basic,4
human-robot collaboration,4
Generative AI,4
fit low vision aids,4
augmented reality,4
manage standards for data exchange,4
customer relationship management,4
Apache Kafka,4
C#,4
manage system testing,4
Kubernetes,4
Oracle Warehouse Builder,4
DAX,4
Software Development Life Cycle,4
XML,4
Source (digital game creation systems),4
rhetoric,4
SAS Data Management,4
Pentaho Data Integration,4
use microsoft office,4
keywords in digital content,4
lead process optimisation,4
Jenkins (tools for software configuration management),4
search engines,4
Microsoft Azure,4
glue film reels,4
asset management,4
manage athletes,4
execute integration testing,4
Docker,4
apply information security policies,4
hardware testing methods,4
conduct patch testing,4
Amazon S3,3
