skill_1,skill_2,frequency
Python,SQL,43
R,SQL,37
Python,R,37
Python,machine learning,21
computer programming,statistics,18
SQL,statistics,17
Microsoft Excel,SQL,16
data visualisation software,statistics,16
project management,statistics,15
R,Tableau,15
business analysis,statistics,15
Python,Tableau,14
SQL,Tableau,14
natural gas,statistics,14
Power BI,SQL,14
SQL,machine learning,14
machine learning,statistics,14
Apache Spark,Python,14
computer programming,natural gas,13
SQL,computer programming,13
R,machine learning,13
R,statistics,13
Python,computer programming,13
R,computer programming,13
SQL,database,13
data models,statistics,12
Python,statistics,12
SQL,data mining,12
SQL,data visualisation software,12
Power BI,Python,12
Python,database,12
solve problems,statistics,11
business intelligence,statistics,11
Power BI,R,11
data mining,statistics,11
Apache Spark,R,11
Python,Scala,11
Power BI,Tableau,10
computer programming,machine learning,10
SQL,Scala,10
Java (computer programming),Python,10
Amazon Web Services,Python,10
business analysis,use computer telephony integration,10
database,machine learning,10
Python,TensorFlow,10
PyTorch,Python,10
business analysis,computer programming,10
business analysis,interact with users to gather requirements,10
SQL,data models,9
Python,deep learning,9
Python,natural gas,9
SQL,natural gas,9
Python,data visualisation software,9
R,natural gas,9
machine learning,natural language processing,9
Data Governance,statistics,9
deep learning,machine learning,9
computer programming,database,9
Amazon Web Services,R,9
machine learning,natural gas,9
data engineering,machine learning,9
R,Scala,9
machine learning,principles of artificial intelligence,9
data models,natural gas,9
computer programming,data models,9
PyTorch,TensorFlow,9
R,database,9
C++,Python,9
computer programming,use computer telephony integration,9
Microsoft Excel,Python,9
data models,data visualisation software,8
radiotherapy,statistics,8
SAS,SQL,8
R,"data extraction, transformation and loading tools",8
Python,data mining,8
ICT project management methodologies,business analysis,8
Apache Spark,Scala,8
identify process improvements,statistics,8
Apache Spark,SQL,8
data models,radiotherapy,8
Microsoft Excel,Power BI,8
Python,"data extraction, transformation and loading tools",8
ICT project management methodologies,computer programming,8
business analysis,project management,8
Scala,machine learning,8
Python,natural language processing,8
computer programming,learning management systems,8
Microsoft Excel,R,8
statistics,supervision of persons,8
database,natural gas,8
