skill,count
Python,32
SQL,28
communication,16
teach communication methods,15
solve problems,14
machine learning,13
Amazon Web Services,11
leadership principles,11
Power BI,10
manage time,10
R,10
Microsoft Excel,9
statistics,8
manage teamwork,7
project management,7
data engineering,7
Apache Spark,7
provide mentorship,7
natural language processing,6
TensorFlow,6
Agile development,6
C++,6
data visualisation software,6
think analytically,6
organisational structure,5
data models,5
attend to detail,5
Snowflake,5
Tableau,5
Java (computer programming),5
Scala,4
SQL Server,4
Oracle Relational Database,4
Microsoft Azure,4
data warehouse,4
SAS,4
use microsoft office,4
database,4
data mining,4
PyTorch,4
Google Cloud Platform,4
mathematics,4
SAP R3,3
Git,3
algorithms,3
DevOps,3
statistical modeling techniques,3
computer vision,3
cloud technologies,3
JavaScript,3
Perl,3
prepare presentation material,3
Kubernetes,3
use scripting programming,3
deep learning,3
Docker,3
discern written communication,3
search engines,3
Apache Hadoop,3
principles of artificial intelligence,3
Apache Kafka,3
NoSQL,2
electrical machines,2
work independently,2
computer programming,2
office software,2
dbt,2
SAP Data Services,2
Databricks,2
motivate others,2
manage time in tourism,2
think critically,2
information architecture,2
work in an organised manner,2
MySQL,2
C#,2
artificial neural networks,2
PostgreSQL,2
use online tools to collaborate,2
database management systems,2
develop predictive models,2
mentor individuals,2
graphic design,1
work in teams,1
show entrepreneurial spirit,1
control air flow,1
transportation software related to an ERP system,1
distributed computing,1
digital identity management,1
service-oriented modelling,1
develop reporting software,1
stimulate creative processes,1
visual presentation techniques,1
apply information security policies,1
apply stitching techniques,1
perform multiple tasks at the same time,1
operations management,1
Apache Airflow,1
demonstrate willingness to learn,1
actuarial science,1
process applications,1
use mathematical tools and equipment,1
organise information,1
automation technology,1
think innovatively,1
asset management,1
e-procurement,1
information extraction,1
statistical analysis system software,1
manage digital documents,1
design for organisational complexity,1
represent the organisation,1
data science,1
negotiate supplier arrangements,1
pack soap,1
study radar images,1
proteomics,1
show initiative,1
debt classification,1
talent management strategies,1
business ICT systems,1
web services,1
systems development life-cycle,1
continuous improvement philosophies,1
accept own accountability,1
SAS Data Management,1
own management skills,1
develop strategy to solve problems,1
apply business acumen,1
make decisions,1
perform business analysis,1
develop statistical software,1
Microsoft Access,1
CSS,1
design application interfaces,1
maintain database performance,1
approach challenges positively,1
computer science,1
data analytics,1
give constructive feedback,1
risk management,1
Oracle Data Integrator,1
ICT project management methodologies,1
business intelligence,1
supply chain management,1
IBM InfoSphere DataStage,1
electronics,1
web analytics,1
develop data processing applications,1
Teradata Database,1
analyse pipeline database information,1
data quality assessment,1
manage a team,1
SQL Server Integration Services,1
distributed ledger technology,1
