Job Title,Count
Data Engineer,90
Senior Data Engineer,44
Business Intelligence Developer,14
Product Analyst,13
Lead Data Engineer,12
Data Engineer II,7
Sr. Data Engineer,6
Business Intelligence Engineer,6
Azure Data Engineer,5
Senior Business Intelligence Developer,5
Business Intelligence Consultant,5
BI Data Engineer,5
GCP Data Engineer,4
Senior Lead Independent Testing Officer - Customer Remediation Analytics & Data Testing,4
Sr. Distinguished Data Engineer,4
"Senior Software Engineer, Machine Learning",4
Big Data Engineer,4
Data Engineer- AWS (Python/ Airflow/ RDS),4
Data Engineer - Remote,4
Marketing Business Intelligence Manager,4
Senior ETL Data Engineer - Reinsurance - Remote,3
Director of Business Intelligence,3
Analytics Specialist,3
Manager Data Engineering- AWS cloud,3
Cloud Data Engineer,3
"Senior Programmer Analyst, Insight Analytics",3
Business Intelligence Lead,3
"Senior Manager, Data Science - Audit Analytics & Innovation",3
Sr Data Engineer,3
"Senior Manager, Data Analytics and Insights",3
Data Engineering Director,3
Sr Director - Consulting & Analytics - Nationals segment,3
Business Intelligence Engineer II ,2
Data Engineering Manager,2
Analytics Summer Intern,2
Senior ETL Data Engineer,2
"Software Engineer, Machine Learning",2
"Director, Decision Science Analytics – Personal Lines Product Intelligence",2
Business Analytics Associate,2
Senior Machine Learning Scientist,2
Business Intelligence Specialist,2
Principal Data Engineer,2
"Optical Network Documentation and Data Engineer, W",2
Senior Azure Data Engineer,2
Manager Data Engineering- AWS Cloud,2
Senior Associate Data Engineer - Azure Cloud,2
Global Quality Process Development & Data Analytics Leader,2
Director of Marketing Analytics,2
"Director, Decision Science Analytics – Brand Marketing",2
"Analyst, Operations Analytics & Performance",2
Azure Synapse Data Engineer,2
Applied Researcher - Machine Learning,2
Data Engineer General,2
Data Engineer with OCR Expertise in Life Sciences,2
Oracle Analytics Cloud Technical Developer ,2
PowerBI Developer,2
Analytics Manager,2
Managed Services - Analytics as a Service - Director,2
SAP Analytics Cloud,2
"Staff Product Manager, Next Gen Analytics",2
Business Analytics Manager,2
Engineering Manager - Data Engineering,2
Staff Data Engineer,2
Data Engineer Intern,2
Senior Business Intelligence Engineer,2
"Post Doctoral Research Associate - Machine Learning, AI, and Rural Medicine",2
"Data Engineer, Mid",2
Social Media Business Intelligence Senior Manager,2
Manager of Media Analytics,2
"Manager, People Analytics",2
Data Engineering Lead,2
Data Engineer III,2
Lead Data Engineer (FinOps),2
Support Data Engineer,2
Associate Data Engineer,2
AWS Data Engineer,2
IT Data Engineer,2
Transformation Product Analyst,2
Digital Engineer III (Azure Data Engineer),2
Business Director of Advanced Analytics,2
Intern- Business Analytics,1
Enterprise Data & Analytics Infrastructure Manager,1
Sr Data Engineer with Kafka,1
Cloud Platform/ Big Data Engineer,1
Data Engineer/ETL,1
Azure Data Engineer (Full time),1
Digital Analyst (Google Analytics),1
"Senior Analyst, Data & Analytics",1
AVP/VP of Advanced Analytics,1
Workforce Strategy and Analytics Consultant (321719),1
 GCP Data Engineer (Only W2),1
Senior Risk Analytics Associate,1
Hybrid - Data & Analytics Manager (Information Technology Manager 1),1
Principal Commercial Analytics,1
Senior P&C Analytics Actuary - PR12617,1
Manager of Health Analytics,1
Experienced Compliance Review - Analytics Support,1
