job_id,title,standard_title,actual_role,predicted_role,correct
3895272957,Global Quality Process Development & Data Analytics Leader,Other,Other,Business Analyst,False
3901353972,NLP Data Scientist - Python | Machine Learning | AI - Hybrid - TS/SCI - Tampa or DC,Data Scientist,Data Scientist,Business Analyst,False
3894993415,Sr. AWS Data Engineer - Hybrid ,Data Engineer,Data Engineer,Data Analyst,False
3903846556,Engineering Manager - Data Engineering,Data Engineer,Data Engineer,Data Analyst,False
3898174637,Talent Management Consultant / Data Analyst,Data Analyst,Data Analyst,Business Analyst,False
3887490958,Business Analyst Communications Consultant,Business Analyst,Business Analyst,Data Analyst,False
3889417419,Data Analyst - Remote,Data Analyst,Data Analyst,Business Analyst,False
3902360711,Oracle Business Intelligence Techno-Functional Consultant,Business Analyst,Business Analyst,Data Engineer,False
3895532596,"Engineering Manager, Analytics",Other,Other,Data Scientist,False
3901387962,Machine Learning Engineer - GenAI,AI / ML Engineer,AI / ML Engineer,Data Analyst,False
3901938989,Business Analyst II (UI/UX design) ,Business Analyst,Business Analyst,Data Analyst,False
3905208418,Manager Resources and Analytics,Other,Other,Business Analyst,False
3894947661,Business Analyst,Business Analyst,Business Analyst,Data Analyst,False
3894207377,Data Scientist (Intermediate),Data Scientist,Data Scientist,Business Analyst,False
3902861372,Staff Machine Learning Engineer (Customer Identity),AI / ML Engineer,AI / ML Engineer,Data Engineer,False
3903444746,Junior Data Analyst,Data Analyst,Data Analyst,Business Analyst,False
3898162921,GCP Data Engineer,Data Engineer,Data Engineer,Business Analyst,False
3885101852,Data Engineer,Data Engineer,Data Engineer,Business Analyst,False
3904570046,[FINANCE] Business Analytics,Other,Other,Business Analyst,False
