,AI / ML Engineer,Business Analyst,Data Analyst,Data Engineer,Data Scientist,Other
57,0.05356054545945151,0.47802036539820475,0.25395137210741603,0.05049232969371733,0.03443374550648692,0.1295416418347235
112,0.03409590219144751,0.11125000286585376,0.5803429160414302,0.056481036577989946,0.020335424416385892,0.1974947179068927
156,0.7706734015426366,0.011998850261352289,0.08639973317901449,0.023137907218959107,0.04693166743771676,0.060858440360320586
1,0.057509858551452346,0.47120899041793146,0.22136936582131278,0.055815610938846676,0.03649576211706957,0.15760041215338708
10,0.05491283264332367,0.47631969821759607,0.24288608567516545,0.0522715349844056,0.03515065394706501,0.13845919453244415
43,0.007299143051842822,0.36671930202371256,0.044294965614505265,0.16240840565964182,0.17401922820599747,0.24525895544430004
7,0.021770727542030292,0.3977608868673975,0.0023829152958144513,0.4090758568301614,0.1639443403956068,0.005065273068989508
2,0.1789667680517918,0.18914842557576247,0.10506431396869179,0.37185710695233426,0.0835027041226787,0.07146068132874105
111,0.014519015818347707,0.043332077412691655,0.5640047623097508,0.05520955896180698,0.035059142271610895,0.28787544322579195
24,0.048562461513619815,0.366612858697655,0.38723098759852975,0.06519242652139728,0.0340248268598676,0.0983764388089305
76,0.0006672620953878113,0.8352325956973637,0.03847967800748025,0.005926265641641087,0.010989014106025577,0.10870518445210169
13,0.013213918992856339,0.7841386205338519,0.08608853504654586,0.02029483034734241,0.023740564765608516,0.07252353031379495
173,0.020365382936275482,0.4167872412603165,0.500566067440832,0.01370573268574874,0.012097439397329018,0.036478136279498134
148,0.03730356703881972,0.056409834438401266,0.004836021653100568,0.19176305835263174,0.6996751210339468,0.010012397483099901
32,0.0018199390163719865,0.43132365534600026,0.1695580414495734,0.009041928297315241,0.03305195598621617,0.3552044799045231
115,0.05874417040366648,0.46779904435228703,0.2109420745259488,0.057569061120409805,0.03711805411523256,0.16782759548245527
124,0.06704235787714505,0.4130983078048682,0.1288121012782512,0.07169230559839208,0.04074293362365251,0.27861199381769086
183,0.01209806648310981,0.39385459920772187,0.001563853426227316,0.584559909717857,0.0008485606670712413,0.007075010498012811
90,0.2530843368424598,0.13912475019161252,0.055471426270086555,0.08194114610528361,0.29509892085006906,0.17527941974048844
125,0.020365382936275482,0.4167872412603165,0.500566067440832,0.01370573268574874,0.012097439397329018,0.036478136279498134
47,0.055576508981310224,0.47525599259022916,0.23742785021335405,0.053160390680817404,0.03549857904016459,0.14308067849412465
110,0.0015907301727495404,0.010524003406572056,0.8033120119045289,0.028553111302072925,0.004900955486226118,0.1511191877278505
49,0.02225008249610613,0.4301302972356666,0.4759341670734425,0.015267336537637772,0.013103070441580853,0.043315046215566255
72,0.005563104832744243,0.6455878794344725,0.1705357532776978,0.04488427623682508,0.013073340425848968,0.12035564579241143
171,0.004954799828095551,0.27379858651347866,0.47273690949002445,0.0681640640765101,0.010494199698882392,0.16985144039300887
84,0.06160130477646588,0.4568174478760256,0.1859286815644318,0.061850291924262724,0.03850446170615088,0.1952978121526633
131,0.06493291236889909,0.4358119736139716,0.1536747863765631,0.06744584255928605,0.039976708651265506,0.2381577764300146
85,0.6644860211225836,0.0746754091452795,0.04765724521487365,0.047281445424520056,0.10392204484038825,0.061977834252354924
37,0.004322214904872679,0.2649160075744076,0.4646941960486798,0.026860590386850344,0.011964934470466856,0.22724205661472274
128,0.21796691085330222,0.3051624088196234,0.14054800887344288,0.06538799083833614,0.056128378819666654,0.21480630179562876
71,0.013088901448524003,0.013833322941567808,0.0008473240470482708,0.9688019752148029,0.0022063415125325976,0.0012221348355243686
168,0.010998274187207752,0.061153696532237456,0.2237459550949186,0.0050628510710067805,0.02590231708599234,0.6731369060286371
70,0.030974970266225536,0.4590705250405951,0.2680668200344243,0.030998210923271582,0.014853473212570585,0.196036000522913
161,0.02306291646739148,0.5057372095328329,0.3792013584039056,0.02356918334431556,0.015837303905385056,0.05259202834616932
75,0.011967344054580603,0.5771897683720864,0.21143063049753924,0.018158248504864225,0.004815614840137961,0.1764383937307916
136,0.056715078326898,0.0035575543972330708,0.7277617412133335,0.0661096180671683,0.020136642583199468,0.1257193654121676
152,0.06242862782820318,0.11545180314301416,0.057991969719444786,0.11467179572923819,0.5467060365841576,0.10274976699594199
107,0.0463969498124039,0.5202393895871529,0.22778986905753498,0.04415933922218685,0.03525171125745149,0.1261627410632699
193,0.12220122070410783,0.7647642439144765,0.020870892807004812,0.06231476536787758,0.006372085261637014,0.023476791944896113
176,0.001340369896299433,0.7692181224055645,0.06000436707686254,0.015884527076383322,0.009322597543808457,0.14423001600108173
