,AI / ML Engineer,Business Analyst,Data Analyst,Data Engineer,Data Scientist,Other
57,0.0,0.9033977966477965,0.09660220335220336,0.0,0.0,0.0
112,0.006666666666666667,0.11302380952380953,0.25,0.0033333333333333335,0.013333333333333334,0.6136428571428572
156,0.86,0.02,0.02666666666666667,0.02,0.02666666666666667,0.04666666666666667
1,0.0,0.9084760702260702,0.0,0.0,0.0,0.09152392977392973
10,0.12262774627906206,0.48152003259898,0.3958522211219581,0.0,0.0,0.0
43,0.0,0.36,0.12,0.13333333333333333,0.21333333333333335,0.17333333333333334
7,0.06666666666666667,0.1,0.0,0.6433333333333333,0.18666666666666668,0.0033333333333333335
2,0.5266666666666666,0.10756410256410258,0.08332478632478632,0.12911111111111112,0.14666666666666667,0.006666666666666667
111,0.04666666666666667,0.19666666666666666,0.40555555555555556,0.19,0.1,0.061111111111111116
24,0.00562037037037037,0.07595634920634921,0.4860066137566138,0.28,0.0,0.15241666666666667
76,0.0,0.4166666666666667,0.14083333333333337,0.03,0.06333333333333334,0.34916666666666674
13,0.0033333333333333335,0.9733333333333334,0.013333333333333334,0.0,0.0,0.01
173,0.0,0.11451719576719578,0.8854828042328042,0.0,0.0,0.0
148,0.07666666666666666,0.0033333333333333335,0.023333333333333334,0.03666666666666667,0.8466666666666667,0.013333333333333334
32,0.0033333333333333335,0.39,0.08166666666666667,0.016666666666666666,0.11666666666666667,0.39166666666666666
115,0.0,0.8879444444444444,0.0,0.0025,0.0936111111111111,0.015944444444444445
124,0.023333333333333334,0.6203333333333333,0.016666666666666666,0.026333333333333334,0.0,0.31333333333333335
183,0.31666666666666665,0.23305555555555557,0.026944444444444448,0.37,0.03333333333333333,0.02
90,0.16666666666666666,0.112,0.023333333333333334,0.03133333333333333,0.5266666666666666,0.14
125,0.0,0.11451719576719578,0.8854828042328042,0.0,0.0,0.0
47,0.047963813476971345,0.18171950710108606,0.1453166794219426,0.0,0.0,0.625
110,0.01,0.08944444444444444,0.41188888888888886,0.2253333333333333,0.04,0.22333333333333333
49,0.051234848484848466,0.2172843915343915,0.7314807599807601,0.0,0.0,0.0
72,0.0,0.8266666666666667,0.10555555555555556,0.0044444444444444444,0.0,0.06333333333333334
171,0.0,0.31666666666666665,0.23333333333333334,0.02,0.0033333333333333335,0.4266666666666667
84,0.0033333333333333335,0.42871296296296285,0.016666666666666666,0.49939814814814837,0.0,0.05188888888888889
131,0.06333333333333334,0.6225555555555556,0.04,0.030777777777777782,0.0,0.24333333333333335
85,0.5533333333333333,0.061055555555555564,0.04041666666666666,0.05291666666666667,0.2822777777777778,0.01
37,0.0,0.2,0.6666666666666666,0.0,0.0,0.13333333333333333
128,0.36333333333333334,0.1396111111111111,0.054611111111111096,0.04911111111111111,0.16333333333333333,0.23
71,0.2633333333333333,0.05,0.027527777777777776,0.509138888888889,0.11666666666666667,0.03333333333333333
168,0.22333333333333333,0.27,0.215,0.08333333333333333,0.10666666666666667,0.10166666666666668
70,0.0033333333333333335,0.8893452380952381,0.051666666666666666,0.0,0.0,0.05565476190476191
161,0.0,0.20758333333333334,0.7824166666666666,0.0,0.006666666666666667,0.0033333333333333335
75,0.006666666666666667,0.12,0.6433333333333333,0.016666666666666666,0.006666666666666667,0.20666666666666667
136,0.13333333333333333,0.01,0.364,0.296,0.17,0.02666666666666667
152,0.05333333333333334,0.08,0.11714285714285713,0.0761904761904762,0.6566666666666666,0.016666666666666666
107,0.0,0.8834760702260704,0.02,0.0,0.0,0.09652392977392976
193,0.05,0.6278333333333334,0.05861111111111111,0.2372222222222222,0.0,0.026333333333333334
176,0.006666666666666667,0.5033333333333333,0.12333333333333334,0.01,0.07666666666666666,0.28
