Dataset,Column,Data Type,Rows,Unique Values,Missing Values,Missing %
postings.csv,job_id,int64,123849,123849,0,0
postings.csv,company_name,str,123849,24428,1719,1.39
postings.csv,title,str,123849,72521,0,0
postings.csv,description,str,123849,107827,7,0.01
postings.csv,max_salary,float64,123849,5321,94056,75.94
postings.csv,pay_period,str,123849,5,87776,70.87
postings.csv,location,str,123849,8526,0,0
postings.csv,company_id,float64,123849,24474,1717,1.39
postings.csv,views,float64,123849,684,1689,1.36
postings.csv,med_salary,float64,123849,1417,117569,94.93
postings.csv,min_salary,float64,123849,4612,94056,75.94
postings.csv,formatted_work_type,str,123849,7,0,0
postings.csv,applies,float64,123849,274,100529,81.17
postings.csv,original_listed_time,float64,123849,65036,0,0
postings.csv,remote_allowed,float64,123849,1,108603,87.69
postings.csv,job_posting_url,str,123849,123849,0,0
postings.csv,application_url,str,123849,84800,36665,29.6
postings.csv,application_type,str,123849,4,0,0
postings.csv,expiry,float64,123849,54851,0,0
postings.csv,closed_time,float64,123849,698,122776,99.13
postings.csv,formatted_experience_level,str,123849,6,29409,23.75
postings.csv,skills_desc,str,123849,2212,121410,98.03
postings.csv,listed_time,float64,123849,53231,0,0
postings.csv,posting_domain,str,123849,4443,39968,32.27
postings.csv,sponsored,int64,123849,1,0,0
postings.csv,work_type,str,123849,7,0,0
postings.csv,currency,str,123849,6,87776,70.87
postings.csv,compensation_type,str,123849,1,87776,70.87
postings.csv,normalized_salary,float64,123849,7259,87776,70.87
postings.csv,zip_code,float64,123849,6989,20872,16.85
postings.csv,fips,float64,123849,2270,27415,22.14
companies.csv,company_id,int64,24473,24473,0,0
companies.csv,name,str,24473,24428,1,0
companies.csv,description,str,24473,24164,297,1.21
companies.csv,company_size,float64,24473,7,2774,11.33
companies.csv,state,str,24473,788,22,0.09
companies.csv,country,str,24473,81,0,0
companies.csv,city,str,24473,4124,1,0
companies.csv,zip_code,str,24473,7779,28,0.11
companies.csv,address,str,24473,19476,22,0.09
companies.csv,url,str,24473,24473,0,0
company_industries.csv,company_id,int64,24375,24365,0,0
company_industries.csv,industry,str,24375,144,0,0
company_specialities.csv,company_id,int64,169387,17780,0,0
company_specialities.csv,speciality,str,169387,82960,0,0
employee_counts.csv,company_id,int64,35787,24473,0,0
employee_counts.csv,employee_count,int64,35787,10033,0,0
employee_counts.csv,follower_count,int64,35787,25554,0,0
employee_counts.csv,time_recorded,int64,35787,3531,0,0
benefits.csv,job_id,int64,67943,30023,0,0
benefits.csv,inferred,int64,67943,2,0,0
benefits.csv,type,str,67943,12,0,0
job_industries.csv,job_id,int64,164808,127125,0,0
job_industries.csv,industry_id,int64,164808,422,0,0
job_skills.csv,job_id,int64,213768,126807,0,0
job_skills.csv,skill_abr,str,213768,35,0,0
salaries.csv,salary_id,int64,40785,40785,0,0
salaries.csv,job_id,int64,40785,40785,0,0
salaries.csv,max_salary,float64,40785,5321,6838,16.77
salaries.csv,med_salary,float64,40785,1417,33947,83.23
salaries.csv,min_salary,float64,40785,4620,6838,16.77
salaries.csv,pay_period,str,40785,5,0,0
salaries.csv,currency,str,40785,6,0,0
salaries.csv,compensation_type,str,40785,1,0,0
industries.csv,industry_id,int64,422,422,0,0
industries.csv,industry_name,str,422,388,34,8.06
skills.csv,skill_abr,str,35,35,0,0
skills.csv,skill_name,str,35,35,0,0
