abbreviation,expanded
ai,artificial intelligence
ml,machine learning
dl,deep learning
nlp,natural language processing
cv,computer vision
llm,large language model
genai,generative ai
sql,sql
nosql,nosql
bi,business intelligence
ba,business analysis
etl,extract transform load
elt,extract load transform
aws,amazon web services
gcp,google cloud platform
azure,microsoft azure
pbi,power bi
pbix,power bi
excel,microsoft excel
ms excel,microsoft excel
js,javascript
ts,typescript
oop,object oriented programming
api,application programming interface
rest,rest api
