original_title,standard_title
Business Analyst,Business Analyst
Senior Business Analyst,Business Analyst
Technical Business Analyst,Business Analyst
IT Business Analyst,Business Analyst
Business Systems Analyst,Business Analyst
Data Analyst,Data Analyst
Senior Data Analyst,Data Analyst
Online Data Analyst,Data Analyst
Data Engineer,Data Engineer
Senior Data Engineer,Data Engineer
Machine Learning Engineer,Machine Learning Engineer
Senior Machine Learning Engineer,Machine Learning Engineer
ML Engineer,Machine Learning Engineer
AI Engineer,AI Engineer
Business Intelligence Analyst,BI Analyst
BI Analyst,BI Analyst
Financial Analyst,Financial Analyst
Product Analyst,Product Analyst
Technical Product Analyst,Product Analyst
