synonym,canonical
python programming,python
python3,python
py,python
ms excel,microsoft excel
excel,microsoft excel
microsoft excel,microsoft excel
power bi desktop,power bi
powerbi,power bi
power-bi,power bi
power bi,power bi
tableau desktop,tableau
amazon web services,aws
google cloud platform,gcp
microsoft azure,azure
machine learning algorithms,machine learning
deep learning algorithms,deep learning
business analytics,business analysis
business analyst,business analysis
predictive analytics,predictive analysis
