technology,canonical,category
python,Python,Programming Language
python programming,Python,Programming Language
sql,SQL,Database Language
mysql,MySQL,Database
postgresql,PostgreSQL,Database
oracle sql,Oracle SQL,Database
sql server,SQL Server,Database
pl sql,PL/SQL,Database
nosql,NoSQL,Database

power bi,Power BI,BI Tool
powerbi,Power BI,BI Tool
power bi desktop,Power BI,BI Tool
pbix,Power BI,BI Tool

tableau,Tableau,BI Tool
tableau desktop,Tableau,BI Tool

excel,Microsoft Excel,Spreadsheet
ms excel,Microsoft Excel,Spreadsheet
microsoft excel,Microsoft Excel,Spreadsheet

aws,Amazon Web Services,Cloud
amazon web services,Amazon Web Services,Cloud
azure,Microsoft Azure,Cloud
microsoft azure,Microsoft Azure,Cloud
gcp,Google Cloud Platform,Cloud
google cloud platform,Google Cloud Platform,Cloud

spark,Apache Spark,Big Data
apache spark,Apache Spark,Big Data
hadoop,Apache Hadoop,Big Data
databricks,Databricks,Big Data
snowflake,Snowflake,Cloud Data Warehouse

airflow,Apache Airflow,Workflow
apache airflow,Apache Airflow,Workflow
dbt,dbt,Data Engineering
kafka,Apache Kafka,Streaming

tensorflow,TensorFlow,Machine Learning
tensor flow,TensorFlow,Machine Learning
pytorch,PyTorch,Machine Learning
scikit learn,Scikit-learn,Machine Learning
sklearn,Scikit-learn,Machine Learning
xgboost,XGBoost,Machine Learning
lightgbm,LightGBM,Machine Learning

r,R,Programming Language
sas,SAS,Analytics
spss,SPSS,Analytics

git,Git,Version Control
github,GitHub,Version Control

docker,Docker,DevOps
kubernetes,Kubernetes,DevOps
jira,Jira,Project Management
jira software,Jira,Project Management
azure devops,Azure DevOps,DevOps
azure dev ops,Azure DevOps,DevOps
azure pipelines,Azure DevOps,DevOps
azure repos,Azure DevOps,DevOps

sap,SAP,ERP
sap fico,SAP FICO,ERP
sap mm,SAP MM,ERP
sap sd,SAP SD,ERP
sap hana,SAP HANA,ERP
s/4 hana,SAP S/4HANA,ERP

vlookup,Microsoft Excel,Spreadsheet
xlookup,Microsoft Excel,Spreadsheet
hlookup,Microsoft Excel,Spreadsheet
pivot table,Microsoft Excel,Spreadsheet
pivot tables,Microsoft Excel,Spreadsheet
power query,Microsoft Excel,Spreadsheet
power pivot,Microsoft Excel,Spreadsheet

microsoft office,Microsoft Office,Office Suite
office 365,Microsoft Office,Office Suite
ms office,Microsoft Office,Office Suite

dax,DAX,Power BI
power bi service,Power BI,BI Tool
power bi report builder,Power BI,BI Tool

ssis,SQL Server Integration Services,ETL
ssis packages,SQL Server Integration Services,ETL
ssrs,SQL Server Reporting Services,Reporting
ssas,SQL Server Analysis Services,Analytics

rest api,REST API,API
restful api,REST API,API
api,API,API
json,JSON,Data Format
xml,XML,Data Format

numpy,NumPy,Python Library
pandas,Pandas,Python Library
matplotlib,Matplotlib,Python Library
seaborn,Seaborn,Python Library
plotly,Plotly,Python Library

jupyter,Jupyter Notebook,Development Tool
jupyter notebook,Jupyter Notebook,Development Tool
visual studio code,Visual Studio Code,IDE
vscode,Visual Studio Code,IDE
jira,Jira,Project Management
azure devops,Azure DevOps,DevOps
microsoft office,Microsoft Office,Office Suite
vlookup,Microsoft Excel,Spreadsheet
pivot tables,Microsoft Excel,Spreadsheet
power query,Microsoft Excel,Spreadsheet
dax,DAX,Power BI
ssis,SQL Server Integration Services,ETL
adls,Azure Data Lake Storage,Cloud
aws ec2,Amazon EC2,Cloud
apache druid,Apache Druid,Big Data
apache kafka,Apache Kafka,Streaming
athena,Amazon Athena,Cloud Analytics
azure data factory,Azure Data Factory,ETL
cosmos db,Azure Cosmos DB,Database
dynamodb,Amazon DynamoDB,Database
ecs,Amazon ECS,Cloud
event hub,Azure Event Hub,Streaming
figma,Figma,Design Tool
gatk,GATK,Bioinformatics
galaxy,Galaxy,Bioinformatics
gen ai,Generative AI,Artificial Intelligence
generative ai,Generative AI,Artificial Intelligence
google cloud dataflow,Google Cloud Dataflow,Big Data
h2o,H2O.ai,Machine Learning
hdfs,HDFS,Big Data
hql,HiveQL,Big Data
ifs,IFS ERP,ERP
knime,KNIME,Analytics
lakehouse,Lakehouse,Data Engineering
lambda,AWS Lambda,Cloud
large language models,Large Language Models,Artificial Intelligence
metabase,Metabase,BI Tool
microsoft project,Microsoft Project,Project Management
mulesoft,MuleSoft,Integration
neo4j,Neo4j,Graph Database
oracle bi publisher,Oracle BI Publisher,BI Tool
oracle drm,Oracle DRM,ERP
advanced excel,Microsoft Excel,Spreadsheet
aws platform & services,Amazon Web Services,Cloud
adobe experience platform,Adobe Experience Platform,Marketing Platform
adobe xd,Adobe XD,Design Tool
apm tools,Application Performance Monitoring,Monitoring
athena,Amazon Athena,Cloud Analytics
azure data factory,Azure Data Factory,ETL
bloomberg,Bloomberg,Financial Platform
ci/cd tools,CI/CD,DevOps
cloud platforms,Cloud Platform,Cloud
"cloud platforms (azure, aws, gcp)",Cloud Platform,Cloud
containerization technologies,Docker,DevOps
continuous deployment,CI/CD,DevOps
copilot m365,Microsoft Copilot,Artificial Intelligence
copilot web,Microsoft Copilot,Artificial Intelligence
cosmos db,Azure Cosmos DB,Database
coupa,Coupa,Procurement
dashboard development,Dashboard Development,Business Intelligence
dask,Dask,Machine Learning
data ops,DataOps,Data Engineering
data stack,Modern Data Stack,Data Engineering
